NSim, Run, UndiscountedReturn, DiscountedReturn, Time
32768, 0, 8, 8, 0.915826
32768, 1, 9, 9, 0.414278
32768, 2, -101, -101, 0.396149
32768, 3, 8, 8, 0.696619
32768, 4, 9, 9, 0.436022
32768, 5, 8, 8, 0.753912
32768, 6, 9, 9, 0.546996
32768, 7, 9, 9, 0.568238
32768, 8, 9, 9, 0.536367
32768, 9, 9, 9, 0.511663
32768, 10, 7, 7, 0.95909
32768, 11, 9, 9, 0.436043
32768, 12, 8, 8, 0.858327
32768, 13, 8, 8, 0.655907
32768, 14, 9, 9, 0.442784
32768, 15, 8, 8, 0.779974
32768, 16, 8, 8, 0.831298
32768, 17, 9, 9, 0.458141
32768, 18, 9, 9, 0.386982
32768, 19, 9, 9, 0.471423
32768, 20, 6, 6, 1.41806
32768, 21, 8, 8, 0.788293
32768, 22, -105, -105, 1.67013
32768, 23, -101, -101, 0.466774
32768, 24, 8, 8, 0.84035
32768, 25, 8, 8, 0.84684
32768, 26, 7, 7, 1.14445
32768, 27, 9, 9, 0.500853
32768, 28, 8, 8, 0.906749
32768, 29, 9, 9, 0.475889
32768, 30, -100, -100, 0.15465
